orthographe    phonétique
avec    avEk
de    d@
défis    defi
dresseur    dREs@R
entière    AtjER
espoir    EspwaR
et    ee
être    EtR
ferai    f@Re
gagner    ganje
j'attraperai    ZatRap@Re
je    Z@
jour    ZuR
la    la
le    l@
leurs    l@R
les    le
meilleur    mEj@R
mystères    mistER
parcourrai    paRkuRe
pokémons    pOkemOn
pour    puR
pouvoirs    puvwaR
secret    s@kRE
serai    s@Re
serai-je    s@REZ
terre    tER
tous    tu
tout    tu
traquant    tRakA
un    I
vainqueur    vIk9R
kan    kA
,    --
